NAAC,Current course,upskill,course_hs,Shares country_hs,ranking,salary
NO GRADE,PG in HR,Datascience,others,OTHER EUROPIAN COUNTRY,96,52400
C,PG in datascience,Finance,none,GERMANY,51,52900
B,CA,Managment,Finance,UK,34,57100
A,PG in HR,none,IT,UK,169,44600
A++,PG in HR,Datascience,IT,CANADA,61,60400
B+,CA,none,others,AUSTRALIA,26,54900
C,BE in Datascience,Finance,IT,US,173,48700
A,BCom,Art,Economics,UK,79,52600
D,PG in datascience,Art,none,none,144,40600
A,PG in finance,IT,IT,UK,113,52200
D,PG in finance,Datascience,Economics,AUSTRALIA,107,56800
A,PG in finance,Art,IT,INDIA,76,58900
A,PG in Marketing,none,Engineering,CANADA,136,42900
NO GRADE,BA,Finance,others,INDIA,9,60600
D,BCom,Art,others,none,90,45000
B++,PG in HR,none,Economics,OTHER EUROPIAN COUNTRY,89,51100
C,"BE in cse,electronics,IT,Telecom",IT,Finance,GERMANY,111,50400
C,PG in HR,none,others,OTHER ASIAN COUNTRY,32,52800
A++,CA,Datascience,Engineering,INDIA,58,60700
A+,BE in Datascience,Managment,IT,none,173,45200
A+,PG in Marketing,none,Management,US,158,43200
NO GRADE,"BE in cse,electronics,IT,Telecom",IT,Engineering,AUSTRALIA,19,64100
B++,B.Sc,Managment,IT,none,42,53800
NO GRADE,"BE in cse,electronics,IT,Telecom",Art,Economics,CANADA,49,57100
B++,PG in datascience,Datascience,Finance,GERMANY,39,58600
A+,BE in Datascience,none,others,INDIA,152,42800
B++,PG in finance,IT,IT,none,164,44600
B++,BE in others,Datascience,others,INDIA,170,45000
B,BE in Datascience,Art,Finance,AUSTRALIA,37,60800
B++,CA,Finance,IT,AUSTRALIA,28,63200
B+,PG in HR,Finance,Engineering,US,25,64500
A+,B.Sc,Finance,IT,US,2,61300
NO GRADE,B.Sc,IT,others,INDIA,155,43000
A,PG in finance,Art,others,UK,83,50700
C,"BE in cse,electronics,IT,Telecom",Art,IT,US,200,46000
A++,PG in Marketing,Managment,Finance,UK,136,46900
B+,BE in others,Datascience,Economics,US,2,65300
B++,PG in datascience,IT,Engineering,OTHER EUROPIAN COUNTRY,151,46400
B,PG in HR,IT,none,OTHER ASIAN COUNTRY,124,47100
A+,B.Sc,Managment,Finance,OTHER EUROPIAN COUNTRY,119,44100
D,PG in Marketing,IT,none,OTHER EUROPIAN COUNTRY,54,51100
D,"BE in cse,electronics,IT,Telecom",Datascience,Engineering,UK,130,50500
B+,BE in others,Art,Engineering,OTHER EUROPIAN COUNTRY,74,53100
B+,BE in Datascience,Finance,none,none,74,47600
A+,PG in datascience,Finance,IT,none,179,42100
A+,"BE in cse,electronics,IT,Telecom",Art,Engineering,none,135,46500
A,BE in others,Finance,others,UK,8,56200
A++,BE in others,none,none,AUSTRALIA,29,52100
A+,"BE in cse,electronics,IT,Telecom",IT,none,US,62,53800
NO GRADE,B.Sc,Art,Engineering,AUSTRALIA,88,53700
D,PG in HR,Finance,Economics,GERMANY,148,51700
D,"BE in cse,electronics,IT,Telecom",IT,IT,UK,158,47700
B,PG in HR,Finance,Engineering,OTHER EUROPIAN COUNTRY,72,56300
B+,"BE in cse,electronics,IT,Telecom",Managment,none,OTHER ASIAN COUNTRY,119,45100
D,PG in datascience,IT,none,OTHER ASIAN COUNTRY,86,47900
B++,PG in datascience,IT,Economics,none,95,51000
A++,PG in Marketing,Managment,Finance,OTHER EUROPIAN COUNTRY,194,40100
NO GRADE,PG in finance,none,Finance,none,194,33100
NO GRADE,B.Sc,IT,Engineering,AUSTRALIA,64,56100
D,PG in datascience,Datascience,none,US,2,60800
B+,PG in finance,none,IT,GERMANY,146,45400
A++,PG in datascience,none,others,GERMANY,178,37700
A+,PG in finance,Finance,none,OTHER ASIAN COUNTRY,201,35400
B+,BCom,Art,Management,OTHER EUROPIAN COUNTRY,161,41900
B++,CA,Art,none,US,117,48300
B++,CA,Art,IT,OTHER EUROPIAN COUNTRY,156,46900
B,"BE in cse,electronics,IT,Telecom",Datascience,Management,INDIA,2,65300
D,BA,Finance,none,US,149,44600
D,BA,none,others,none,159,36100
A+,B.Sc,Finance,none,OTHER EUROPIAN COUNTRY,166,35400
D,PG in HR,Art,Management,US,166,50400
A+,PG in HR,IT,IT,none,72,56800
A+,BE in others,Finance,Engineering,UK,36,56900
B+,BE in Datascience,Art,Management,CANADA,113,50200
B++,CA,Managment,others,GERMANY,74,53600
B++,"BE in cse,electronics,IT,Telecom",IT,none,AUSTRALIA,50,56000
A++,PG in finance,Datascience,Finance,AUSTRALIA,96,54900
A,PG in Marketing,IT,IT,OTHER ASIAN COUNTRY,39,58600
A+,BE in Datascience,none,none,AUSTRALIA,79,49100
NO GRADE,PG in finance,IT,Economics,none,69,53600
B,BE in Datascience,Finance,Economics,AUSTRALIA,167,49800
A+,BA,Datascience,others,AUSTRALIA,191,44900
D,B.Sc,Managment,Management,CANADA,40,53500
NO GRADE,BE in Datascience,Art,Finance,GERMANY,111,51400
A,PG in HR,Datascience,Management,US,178,50200
D,CA,Art,Finance,INDIA,118,51200
D,B.Sc,Finance,none,AUSTRALIA,146,41900
D,BA,Datascience,others,CANADA,133,46200
D,CA,Managment,Economics,CANADA,7,61800
A,PG in Marketing,Datascience,IT,OTHER EUROPIAN COUNTRY,130,50500
B,PG in HR,Art,Management,OTHER EUROPIAN COUNTRY,70,56500
NO GRADE,PG in Marketing,Datascience,others,AUSTRALIA,94,54100
B+,BA,none,none,US,74,48100
A++,PG in HR,Managment,Management,INDIA,201,47900
B,PG in finance,IT,none,none,156,39400
NO GRADE,PG in HR,none,none,CANADA,34,51100
B++,PG in datascience,Finance,Economics,US,21,62400
A+,PG in finance,IT,others,AUSTRALIA,49,57600
A++,BE in others,none,others,AUSTRALIA,123,44200
B,PG in HR,Datascience,IT,OTHER ASIAN COUNTRY,144,52100
D,BE in Datascience,Datascience,Management,UK,64,57100
A,"BE in cse,electronics,IT,Telecom",Datascience,others,AUSTRALIA,70,56500
B,PG in Marketing,Datascience,Finance,GERMANY,161,46400
C,PG in Marketing,Managment,Finance,CANADA,61,53400
B++,BA,Art,others,US,15,60500
A++,BA,Managment,none,US,101,50900
C,"BE in cse,electronics,IT,Telecom",Managment,IT,OTHER ASIAN COUNTRY,125,50500
A,BE in Datascience,IT,Economics,AUSTRALIA,133,54200
C,BE in others,Managment,none,GERMANY,8,57700
B+,BE in Datascience,IT,IT,CANADA,28,60700
A,"BE in cse,electronics,IT,Telecom",Managment,Finance,GERMANY,86,53400
A,CA,Art,Management,INDIA,168,47700
A,PG in Marketing,Managment,IT,none,96,51900
B+,CA,Finance,Management,OTHER ASIAN COUNTRY,51,54400
B,PG in finance,none,others,AUSTRALIA,70,50500
NO GRADE,PG in HR,Finance,Management,OTHER EUROPIAN COUNTRY,25,60000
NO GRADE,BE in others,Finance,Management,OTHER ASIAN COUNTRY,152,43300
A,B.Sc,none,Economics,OTHER ASIAN COUNTRY,47,48800
B,PG in datascience,none,Engineering,OTHER ASIAN COUNTRY,116,44900
A++,BA,Managment,Engineering,none,85,52500
D,"BE in cse,electronics,IT,Telecom",Datascience,IT,none,23,59700
A,BCom,none,Engineering,UK,86,46400
B,PG in HR,Art,Economics,none,11,62400
A+,"BE in cse,electronics,IT,Telecom",Datascience,Economics,INDIA,156,51400
B+,PG in datascience,Managment,others,INDIA,53,57200
A++,CA,Managment,Economics,AUSTRALIA,142,52800
A++,"BE in cse,electronics,IT,Telecom",Datascience,Finance,none,58,52700
B+,B.Sc,Managment,Engineering,OTHER EUROPIAN COUNTRY,133,45200
NO GRADE,BE in Datascience,Managment,Economics,INDIA,137,53800
A+,PG in Marketing,IT,Economics,GERMANY,53,59200
NO GRADE,BCom,Datascience,Management,CANADA,28,56200
NO GRADE,PG in HR,Finance,Economics,UK,23,62700
NO GRADE,BE in others,none,Engineering,OTHER EUROPIAN COUNTRY,125,43000
D,PG in datascience,IT,Finance,INDIA,182,44800
D,B.Sc,Managment,Management,none,137,42300
B+,B.Sc,Datascience,IT,INDIA,100,54000
B,BCom,Finance,others,AUSTRALIA,116,47400
D,BA,Art,Engineering,none,39,56600
A,BE in Datascience,none,Economics,OTHER EUROPIAN COUNTRY,43,53700
B,PG in HR,IT,Finance,UK,124,50600
A+,BCom,Managment,none,UK,192,36300
NO GRADE,B.Sc,IT,Economics,UK,80,51500
A++,PG in HR,Finance,Management,AUSTRALIA,114,55600
B,BA,Datascience,IT,OTHER EUROPIAN COUNTRY,97,54300
NO GRADE,"BE in cse,electronics,IT,Telecom",Art,others,OTHER ASIAN COUNTRY,59,52100
B,PG in datascience,Datascience,Management,none,100,50000
B++,B.Sc,IT,Finance,UK,42,52300
A++,"BE in cse,electronics,IT,Telecom",Finance,Management,AUSTRALIA,134,50600
A,BA,Datascience,IT,GERMANY,41,62400
B++,CA,Managment,Management,AUSTRALIA,155,50000
B++,"BE in cse,electronics,IT,Telecom",IT,others,none,109,45600
D,PG in Marketing,IT,Management,OTHER ASIAN COUNTRY,42,56300
A++,BA,Datascience,IT,CANADA,72,56800
A,PG in Marketing,Finance,others,GERMANY,89,50600
A++,BE in others,Art,Finance,US,23,59200
A+,PG in Marketing,none,Management,US,30,56000
B+,PG in Marketing,Finance,IT,none,23,57700
B,PG in datascience,none,none,UK,3,52200
NO GRADE,"BE in cse,electronics,IT,Telecom",none,IT,GERMANY,136,46400
A+,B.Sc,Managment,Management,INDIA,118,49700
D,BE in Datascience,Art,IT,OTHER ASIAN COUNTRY,46,58900
NO GRADE,BCom,Datascience,Economics,OTHER EUROPIAN COUNTRY,127,47800
A++,PG in datascience,Art,IT,OTHER EUROPIAN COUNTRY,82,54300
B+,BCom,IT,none,OTHER EUROPIAN COUNTRY,51,48900
B+,PG in Marketing,Finance,Finance,GERMANY,148,45700
A++,CA,Art,Economics,UK,110,52000
D,CA,Datascience,none,AUSTRALIA,102,51800
NO GRADE,PG in finance,Datascience,none,OTHER EUROPIAN COUNTRY,130,44500
D,PG in datascience,none,Engineering,GERMANY,31,55900
B,"BE in cse,electronics,IT,Telecom",IT,none,INDIA,62,54300
A,BE in others,Art,Engineering,GERMANY,22,60800
A,BE in Datascience,Art,Management,GERMANY,133,50700
A+,"BE in cse,electronics,IT,Telecom",Finance,Economics,INDIA,46,60400
B++,PG in finance,Managment,Management,US,34,61100
B,PG in HR,Finance,IT,OTHER ASIAN COUNTRY,162,48300
A,BCom,none,Finance,CANADA,84,43100
B,BCom,IT,Management,none,24,54100
B++,B.Sc,Managment,none,OTHER EUROPIAN COUNTRY,166,36900
C,BE in others,Managment,Engineering,INDIA,56,59400
NO GRADE,PG in datascience,Managment,Economics,none,201,40900
A++,PG in finance,Managment,none,OTHER EUROPIAN COUNTRY,124,44600
A,B.Sc,IT,Engineering,none,121,44400
B,B.Sc,IT,Engineering,OTHER EUROPIAN COUNTRY,82,49800
A+,CA,Datascience,others,UK,86,51400
A+,PG in finance,Finance,Engineering,OTHER ASIAN COUNTRY,196,40900
B+,BCom,Datascience,none,GERMANY,162,41300
NO GRADE,B.Sc,none,none,none,12,45300
C,BE in Datascience,Managment,IT,UK,36,61400
NO GRADE,PG in HR,IT,Management,none,151,46900
D,BE in Datascience,IT,Engineering,OTHER EUROPIAN COUNTRY,48,57700
A++,BE in Datascience,none,Engineering,INDIA,103,51200
A,B.Sc,Art,none,GERMANY,169,38600
C,PG in datascience,Datascience,others,UK,52,54800
A+,PG in HR,IT,Finance,INDIA,113,54700
D,"BE in cse,electronics,IT,Telecom",IT,Management,none,50,54000
D,PG in Marketing,Managment,others,AUSTRALIA,11,61900
B++,PG in finance,Art,others,US,156,45900
A++,B.Sc,Managment,Finance,AUSTRALIA,3,60200
C,CA,Datascience,Engineering,OTHER ASIAN COUNTRY,85,54000
B+,PG in HR,none,Engineering,none,136,44400
A++,PG in finance,Managment,Finance,US,45,58500
B,B.Sc,Art,Finance,INDIA,137,45800
B++,PG in datascience,none,none,OTHER ASIAN COUNTRY,79,43600
B,BCom,Managment,IT,GERMANY,83,54700
D,BE in others,IT,others,US,137,46800
B++,B.Sc,IT,Economics,INDIA,1,62400
D,BE in Datascience,Managment,others,OTHER ASIAN COUNTRY,38,55700
C,PG in HR,none,Management,OTHER ASIAN COUNTRY,22,56300
B++,BE in others,none,none,US,155,38500
B+,BE in others,IT,IT,AUSTRALIA,143,51700
C,B.Sc,Art,none,OTHER EUROPIAN COUNTRY,65,46500
A++,BE in others,none,none,INDIA,170,37500
A+,BCom,none,none,none,148,32700
D,PG in datascience,IT,none,CANADA,42,52300
A++,BE in others,none,none,AUSTRALIA,58,49200
B,"BE in cse,electronics,IT,Telecom",Managment,Engineering,GERMANY,76,56900
D,B.Sc,Art,Engineering,none,61,50400
B,B.Sc,Managment,others,CANADA,50,50000
A,PG in Marketing,none,Engineering,UK,139,43600
A+,BCom,Finance,others,UK,70,48500
A+,PG in finance,none,others,GERMANY,70,48500
B++,BE in Datascience,IT,Engineering,US,156,50400
B++,BE in Datascience,Art,Engineering,CANADA,72,55300
A+,B.Sc,none,none,AUSTRALIA,168,35700
C,PG in finance,Managment,others,CANADA,56,52900
NO GRADE,BCom,Finance,IT,AUSTRALIA,169,46600
B,CA,Managment,none,OTHER EUROPIAN COUNTRY,87,48300
B++,PG in datascience,none,Engineering,US,98,50200
C,BE in Datascience,Managment,others,AUSTRALIA,112,52800
A,PG in finance,Datascience,Economics,OTHER ASIAN COUNTRY,177,45300
A,BCom,IT,Engineering,US,182,44300
C,BCom,Art,Finance,AUSTRALIA,95,51500
A+,CA,Managment,none,INDIA,80,53000
NO GRADE,BE in Datascience,Datascience,Management,OTHER ASIAN COUNTRY,139,48600
A,"BE in cse,electronics,IT,Telecom",Datascience,Engineering,US,119,54100
B,PG in finance,IT,others,OTHER ASIAN COUNTRY,59,52100
D,BE in others,Managment,Engineering,CANADA,157,45300
D,BCom,Managment,Economics,INDIA,120,52000
B,PG in finance,Finance,IT,OTHER EUROPIAN COUNTRY,8,60700
B,BE in Datascience,Managment,none,UK,27,56300
B++,"BE in cse,electronics,IT,Telecom",Datascience,Management,OTHER ASIAN COUNTRY,163,45200
C,CA,Datascience,Management,US,178,47200
A,BE in Datascience,Managment,none,INDIA,91,52900
C,"BE in cse,electronics,IT,Telecom",IT,none,AUSTRALIA,87,52300
NO GRADE,PG in datascience,none,Finance,AUSTRALIA,196,38900
D,B.Sc,Managment,IT,none,166,41400
A,PG in Marketing,IT,IT,CANADA,160,46500
D,BE in Datascience,Art,others,GERMANY,142,47300
A+,PG in Marketing,IT,IT,INDIA,28,63700
B,PG in Marketing,Finance,Finance,US,98,51700
B+,BA,Datascience,Economics,UK,63,58200
A,PG in datascience,Managment,Management,OTHER EUROPIAN COUNTRY,140,47000
B,PG in Marketing,none,Economics,US,132,47300
B++,PG in finance,IT,Economics,US,41,61400
A,PG in datascience,Finance,others,OTHER EUROPIAN COUNTRY,20,55000
B+,CA,Managment,Management,OTHER ASIAN COUNTRY,161,44900
A++,BCom,Datascience,Economics,none,161,42900
A,PG in finance,none,Finance,AUSTRALIA,190,39500
D,B.Sc,none,Economics,none,166,35400
A++,BE in others,Art,others,US,26,57900
C,BE in Datascience,Art,none,GERMANY,167,43300
NO GRADE,BCom,Art,Economics,AUSTRALIA,83,55700
B,CA,Finance,Engineering,UK,20,59500
B,PG in finance,Datascience,Economics,OTHER ASIAN COUNTRY,162,46800
B+,PG in datascience,Finance,others,UK,160,42000
A++,"BE in cse,electronics,IT,Telecom",Managment,Engineering,GERMANY,142,50300
NO GRADE,B.Sc,none,others,CANADA,193,30200
A++,PG in datascience,Managment,none,OTHER EUROPIAN COUNTRY,78,49200
C,"BE in cse,electronics,IT,Telecom",Art,Management,CANADA,8,59700
NO GRADE,CA,none,IT,INDIA,191,42400
B+,BCom,Managment,Engineering,UK,165,44000
A,BCom,Datascience,others,US,44,55600
A,"BE in cse,electronics,IT,Telecom",Finance,others,CANADA,2,56800
A+,PG in Marketing,Managment,Finance,UK,183,42200
C,"BE in cse,electronics,IT,Telecom",none,Engineering,AUSTRALIA,196,41400
A+,PG in finance,none,Finance,AUSTRALIA,150,43500
A++,PG in Marketing,Datascience,IT,OTHER EUROPIAN COUNTRY,184,45100
B+,BCom,Art,Finance,GERMANY,194,39600
A+,PG in datascience,Managment,Management,US,106,53900
A,B.Sc,none,IT,UK,182,36800
B+,PG in datascience,Datascience,Management,GERMANY,67,57300
B++,PG in HR,Finance,Management,INDIA,175,49000
NO GRADE,CA,none,Engineering,UK,169,40600
B,PG in datascience,Datascience,Economics,OTHER EUROPIAN COUNTRY,170,46000
B+,B.Sc,Datascience,IT,OTHER ASIAN COUNTRY,172,42800
A,BCom,Art,Finance,INDIA,43,56200
D,BCom,Finance,others,OTHER EUROPIAN COUNTRY,66,47900
B,PG in HR,Finance,Management,CANADA,28,59700
A,BE in Datascience,Finance,others,GERMANY,153,45200
A++,PG in Marketing,Managment,IT,US,115,55000
B+,BE in Datascience,IT,Engineering,INDIA,10,65500
B++,B.Sc,Finance,others,UK,8,53700
B,PG in Marketing,Art,Finance,AUSTRALIA,192,44300
B+,PG in Marketing,Finance,Engineering,INDIA,96,54900
NO GRADE,BCom,Managment,Finance,CANADA,17,55300
B,PG in finance,IT,Management,none,184,40600
NO GRADE,PG in finance,IT,Finance,INDIA,70,56000
B,"BE in cse,electronics,IT,Telecom",Finance,IT,CANADA,71,54400
A++,PG in datascience,Managment,others,CANADA,118,46700
B,PG in Marketing,Datascience,others,none,98,47700
B++,CA,IT,Economics,INDIA,138,52200
B,BE in Datascience,Finance,others,OTHER ASIAN COUNTRY,122,45800
D,PG in HR,Managment,Finance,US,131,52900
C,B.Sc,Datascience,IT,AUSTRALIA,160,48500
A,BA,Managment,Management,GERMANY,2,63800
A+,"BE in cse,electronics,IT,Telecom",Datascience,Management,US,137,51300
C,CA,Art,Economics,UK,170,46000
A++,BCom,Finance,Management,OTHER EUROPIAN COUNTRY,147,42300
C,BCom,none,Finance,INDIA,18,53700
NO GRADE,BE in others,IT,Economics,OTHER EUROPIAN COUNTRY,152,45800
C,B.Sc,Art,IT,none,2,57300
B+,BE in others,Managment,Management,AUSTRALIA,48,59700
A,BA,Finance,Economics,AUSTRALIA,53,60700
B+,B.Sc,IT,none,CANADA,16,51400
B++,BE in others,Art,IT,GERMANY,17,62300
NO GRADE,PG in datascience,none,Engineering,INDIA,27,57800
B++,BE in others,Finance,Engineering,none,119,46100
B,"BE in cse,electronics,IT,Telecom",Finance,Engineering,OTHER EUROPIAN COUNTRY,184,42100
B+,BE in Datascience,Art,others,OTHER ASIAN COUNTRY,149,44100
A,BE in Datascience,Managment,Economics,AUSTRALIA,157,52300
B++,BE in others,Art,Management,GERMANY,66,55400
D,CA,Art,IT,GERMANY,120,53000
A++,BCom,none,Engineering,none,66,45900
B+,BCom,Managment,none,GERMANY,108,46200
B+,BE in others,none,Engineering,AUSTRALIA,18,58200
D,BA,Managment,others,INDIA,171,45900
C,PG in datascience,Art,Finance,AUSTRALIA,146,48900
NO GRADE,PG in datascience,Managment,Economics,none,10,60000
D,BE in Datascience,Finance,Engineering,US,172,47800
B+,B.Sc,Finance,Finance,CANADA,126,41900
B++,B.Sc,Finance,IT,US,3,61200
D,PG in HR,Managment,Economics,GERMANY,122,55800
D,BE in Datascience,Datascience,Economics,AUSTRALIA,171,51400
B+,PG in finance,Art,IT,none,45,56500
A+,PG in Marketing,Datascience,Engineering,AUSTRALIA,3,66700
A,PG in HR,Art,Finance,CANADA,19,60100
C,CA,Finance,Engineering,OTHER EUROPIAN COUNTRY,162,44300
NO GRADE,BE in Datascience,none,Engineering,OTHER ASIAN COUNTRY,37,53800
A++,PG in Marketing,Managment,Finance,UK,156,44900
NO GRADE,PG in datascience,Finance,others,AUSTRALIA,126,48900
B++,CA,none,Economics,OTHER ASIAN COUNTRY,95,47500
C,BE in others,IT,Management,OTHER ASIAN COUNTRY,137,45800
NO GRADE,"BE in cse,electronics,IT,Telecom",Managment,Management,US,121,52400
A+,BE in others,Datascience,Economics,GERMANY,169,47600
NO GRADE,BE in Datascience,Finance,Economics,none,79,52600
NO GRADE,PG in HR,IT,Economics,US,181,50400
B,PG in HR,IT,IT,AUSTRALIA,172,52800
B++,PG in Marketing,Finance,Finance,AUSTRALIA,112,51300
B+,"BE in cse,electronics,IT,Telecom",Finance,none,none,154,38600
B++,"BE in cse,electronics,IT,Telecom",Art,Engineering,UK,56,56900
C,BE in Datascience,Art,Economics,CANADA,41,58900
A,BCom,none,none,OTHER ASIAN COUNTRY,33,45700
B,CA,none,others,OTHER EUROPIAN COUNTRY,40,49000
B++,BA,Managment,Economics,OTHER EUROPIAN COUNTRY,38,59200
D,BE in others,none,others,OTHER ASIAN COUNTRY,55,46500
C,BE in others,Managment,Economics,OTHER ASIAN COUNTRY,69,54600
A++,PG in HR,Finance,Economics,CANADA,195,44500
B+,PG in HR,none,Finance,OTHER EUROPIAN COUNTRY,53,51700
A+,BCom,IT,Economics,GERMANY,130,49000
C,BE in Datascience,Finance,others,OTHER EUROPIAN COUNTRY,20,56000
B,B.Sc,IT,others,UK,178,37700
B+,PG in finance,IT,Management,INDIA,53,59200
B+,PG in Marketing,Datascience,Management,CANADA,97,51800
NO GRADE,PG in HR,Datascience,others,UK,188,44200
B,B.Sc,Datascience,none,none,129,39600
A+,PG in datascience,Art,others,US,101,51400
B+,PG in Marketing,Datascience,Finance,UK,39,57100
A+,B.Sc,Art,Finance,US,31,55900
B++,PG in finance,IT,Management,OTHER ASIAN COUNTRY,129,47600
B+,BE in Datascience,Managment,Economics,UK,109,53600
A,B.Sc,none,others,CANADA,88,40700
A++,PG in HR,Art,IT,CANADA,34,62100
A+,"BE in cse,electronics,IT,Telecom",Finance,none,CANADA,119,43600
B,BE in Datascience,Art,Management,INDIA,78,57700
A,B.Sc,Art,IT,OTHER ASIAN COUNTRY,55,53500
B++,PG in Marketing,IT,others,AUSTRALIA,52,57300
NO GRADE,PG in finance,Datascience,IT,UK,198,44700
B,PG in HR,Finance,Finance,OTHER ASIAN COUNTRY,56,55400
B+,CA,IT,Economics,AUSTRALIA,144,52100
D,CA,Finance,Engineering,INDIA,175,47000
D,"BE in cse,electronics,IT,Telecom",none,Economics,OTHER EUROPIAN COUNTRY,42,52800
A++,BA,IT,IT,AUSTRALIA,170,50500
B,PG in HR,Finance,Management,US,85,57500
NO GRADE,"BE in cse,electronics,IT,Telecom",IT,Management,GERMANY,73,55700
B,BE in others,Datascience,Engineering,UK,79,54600
B+,PG in HR,IT,IT,UK,196,46900
C,CA,none,Engineering,OTHER ASIAN COUNTRY,75,49000
A,BE in Datascience,Finance,Management,AUSTRALIA,183,46700
NO GRADE,BCom,IT,Economics,OTHER ASIAN COUNTRY,33,56200
A++,PG in datascience,Art,Economics,AUSTRALIA,44,62100
A++,PG in Marketing,none,others,CANADA,124,40600
C,PG in Marketing,Managment,others,GERMANY,109,50100
A+,BE in others,Managment,Economics,OTHER EUROPIAN COUNTRY,194,42100
B+,B.Sc,Managment,none,OTHER ASIAN COUNTRY,194,34100
A+,BE in others,IT,none,OTHER ASIAN COUNTRY,146,40900
A+,PG in Marketing,Finance,Management,OTHER EUROPIAN COUNTRY,152,44300
NO GRADE,CA,Managment,others,AUSTRALIA,124,50600
C,PG in Marketing,Datascience,none,OTHER EUROPIAN COUNTRY,173,40200
B,PG in HR,Finance,IT,GERMANY,129,54100
D,BE in others,Finance,IT,UK,60,55500
B++,BA,Art,none,US,126,47900
B+,PG in Marketing,Art,IT,AUSTRALIA,199,47100
